"SaaS, Core, Affliate, Data Institute ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Ambar + Ai,,Affiliate Launch,,National Expansion Launch,,,,,
Category / Area,Capablities,HEMs Today,,SaaS HEMs (Platform),,Phase 2 Swagger Build,,Phase 2.5 Swagger Build,SaaS,Core,Affiliate,,Phase 3 Data Institute 
,,Current,,8-10 Weeks from today,,3-4  Months,,,,,,,5-12 Months
HEMs App,Event Managment,Yes,,Yes,,Yes,,,,Yes,,,Yes
HEMs App,Event Entry,Manual,,Semi Auto - AI Leverage,,Ai Leverage + Direct Connection (Dist/Supplier),,,Semi Auto - AI Leverage,Ai Leverage + Direct Connection (Dist/Supplier),Event Affliate - Ai Leverage,,Ai Leverage
HEMs App,Event Requests,Manual,,Email Ai (Pilot),,Yes (Market Ready),,,Email Ai / Client Input,Email Ai / Operations Input,,,Native
HEMs App,Manager - Process,Yes,,Updated Flow,,Yes (Market Ready),,,Manager - Educator Management,Manager - Educator Management,Manager - Educator Management,,Native
HEMs App,Wizard / Training,No,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
HEMs App,Educator Expenses,Manual,,Manual,,Ai Scanning Reciepts,,,,,,,Ai Scanning Reciepts
HEMs App,Account Management,Manual / Excel,,Dashboard (Pilot),,Yes (Market Ready),,,,,,,Yes
HEMs App,Item / Supplier Management,Yes In App,,Dashboard - Enhanced (Pilot),,Yes (Market Ready),,,,,,,Yes
HEMs App,Payroll,Yes In App,,,,,,,,,,,
HEMs App,Billing / Event Costs / Event Exeuction,Yes In App,,,,,,,,,,,
,,,,,,,,,,,,,
Internal Processes,Payroll Functionality,Manual,,Manual,,Automations,,,,,,,Automated
Internal Processes,Event Assigment / Management,Yes / Manual,,Semi Auto,,Ai Leverage,,,,,,,Ai Leverage
Internal Processes,Billing Distributor,Manual / Semi,,Process Update,,Automated,,,,,,,Automated
,,,,,,,,,,,,,
Event Evaluation,Samples Setup,Manual,,Pilot,,Ai Leverage,,,,,,,Ai Leverage
Event Evaluation,Client Reporting,Manual / Email Share,,API/Manual/Web Access,,Reporting Suite +,,,,,,,Reporting Suite + Data + Commerical Ops
HART Operations Mapping,Samples Setup,Manual,,Manual,,New Operations Management,,,,,,,New Operations Management
,,,,,,,,,,,,,
Internal Processes,Educator Managment,No,,Yes (Pilot),,Yes (Market Ready),,,,,,,Yes
Educator Managmenet,Educator Scores / Auto Assigment,No,,No,,Yes (Pilot),,,,,,,Yes
Educator Managmenet,Event and Educator Matching,Manual,,Yes (Pilot),,Yes (Market Ready),,,,,,,Yes
Educator Management,Cancellation Process,Manual,,Mobile App (Pilot),,Yes (Market Ready),,,,,,,Yes
Educator Effectiveness,Educator Brand Learning,Self Directed,,Self Directed,,App Build,,,,,,,Yes
Educator Effectiveness,Educator Brand Knowledge Score/Cat,No / Manual,,No / Manual,,Yes,,,,,,,Yes
HART Manager ,Event Cancellation Process,Manual,,Enhancement (Pilot),,Yes (Market Ready),,,,,,,Yes
HART Manager ,Educator Managment,Manual / Excel,,Dashboard (Pilot),,Yes (Market Ready),,,,,,,Yes
,,,,,,,,,,,,,
HEMs Platform (Stoli) SaaS,Multi Client (Supplier / Distributor),No,,Yes (Pilot),,Yes (Market Ready),,,,,,,Yes
HEMs App (Stoli),Multi Client (Supplier / Distributor),No,,Yes (Pilot),,Yes (Market Ready),,,,,,,Yes
,,,,,,,,,,,,,
HEMs Platform (Affilate),Multi Affiliate (Supplier / Distributor),No,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
HEMs App (Affilate),Multi Affiliate (Supplier / Distributor),No,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
,,,,,,,,,,,,,
Help Desk,Issue / Ticket Support,Internal,,Internal,,Automated Helpdesk,,,,,,,Professional Helpdesk
Help Desk,Ai Help Bot,No,,No,,Automated Helpdesk,,,,,,,Professional Helpdesk
,,,,,,,,,,,,,
Mobile App,HEMs Mobile App,Yes,,New (Pilot),,Yes (Market Ready),,,,,,,Native
,HEMs Mobile App - Educator,Yes,,New (Pilot) - Updated,,Yes (Market Ready),,,,,,,
Mobile App,Ongoing Surveys - Every Event,No,,New (Pilot),,Yes (Market Ready),,,,,,,Native
Mobile App,Multiple Client Access,No,,New (Pilot),,Yes (Market Ready),,,,,,,Native
,,,,,,,,,,,,,
Events Data,Consumer Collection,No,,Semi,,New (Pilot),,,,,,,Native
Events Data,Account Data Collection,No,,New (Pilot),,Yes (Market Ready),,,,,,,Native
Events Data,Social Collection,No,,New (Pilot),,Yes (Market Ready),,,,,,,Native
Events Data,Brand Category Data Collection,No,,New (Pilot),,Yes (Market Ready),,,,,,,Native
,,,,,,,,,,,,,
Supplier Campaigns,Event,Manual,,Included,,Yes (Market Ready),,,,,,,Native
,,,,,,,,,,,,,
Surveys / Questionaires,Account Surveys,Manual / Email / Outfield,,New (Pilot),,Yes Ai Market Ready,,,,,,,Native
Surveys / Questionaires,Distrbutor Surveys,Manual / Email / Outfield,,New (Pilot),,Yes Ai Market Ready,,,,,,,Native
Surveys / Questionaires,Supplier Surveys,Manual / Email / Outfield,,New (Pilot),,Yes Ai Market Ready,,,,,,,Native
Surveys / Questionaires,Shelve Sets / Displays,Manual / Email / Outfield,,New Ai Image (Pilot),,Yes Ai Market Ready,,,,,,,
,,,,,,,,,,,,,
Data Provider / Resell,Distributor Data Partner,Manual / Email,,API (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,VIP Data Partner,Manual / Email,,API (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,Consumer Profiles,N/A,,Yes  (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,Account / Market Profile,N/A,,Yes (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,Menus - Food Restaruants,N/A,,Ai (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,Menus Drinks,N/A,,Ai (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,Market / Brand Targets,N/A,,Yes (Pilot),,Yes (Market Ready for Clients,,,,,,,Native - Resell
Data Provider / Resell,Social Media - Events,N/A,,N/A,,Yes (Pilot),,,,,,,Native - Resell
Data Provider / Resell,TPM - Trade Promotion Solutions,N/A,,N/A,,Yes (Pilot),,,,,,,Native - Resell
Data Provider / Resell,Retailer Data Connection,N/A,,N/A,,Yes (Pilot),,,,,,,Native - Resell
Data Provider / Resell,Trade Promotion Application ,N/A,,N/A,,Yes (API),,,,,,,Native - Resell
Data Provider / Resell,"Business Intelligence (Team, Client)",N/A,,Yes API,,"Yes (API, Ai Enhanced)",,,,,,,Native - Resell
Data Provider / Resell,"Syndicated Data (Market, industry.etc)",N/A,,Yes API,,"Yes (API, Ai Enhanced)",,,,,,,Native - Resell
,,,,,,,,,,,,,
Reporting / Data,Standard Event Report,Export,,Export / API,,Export / API / Portal,,,,,,,Ai / Export / API / Portal
Reporting / Data,Event Data API,Export,,Yes,,Native,,,,,,,AI Leverage
Reporting / Data,Event Reporting Suite,Manual / Email,,API (Pilot),,Yes (Market Ready),,,,,,,AI Leverage
Reporting / Data,Trade Promotion,Manual / Email,,API (Pilot),,Yes (Market Ready),,,,,,,AI Leverage
Reporting / Data,Distributor BI - Event Results/insights,Manual / Email,,API (Pilot),,Yes (Market Ready),,,,,,,AI Leverage
Reporting / Data,Supplier BI - Event Results/insights,Manual / Email,,API (Pilot),,Yes (Market Ready),,,,,,,AI Leverage
Reporting / Data,Event Insights,Export,,API (Pilot),,Ai Insights,,,,,,,AI Leverage
Reporting / Data,Financial API,Manual / Email,,API (Pilot),,Quickbooks/Etc,,,,,,,Native
,,,,,,,,,,,,,
Industry Clients,Wine / Spirits,Native,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
Industry Clients,Beer / RTS,Semi,,Yes (Pilot),,Yes (Market Ready),,,,,,,Native
Industry Clients,Food and Beverage,NA,,NA,,Yes (Pilot),,,,,,,Native
Industry Clients,Cannabis,Semi,,Semi,,Yes (Pilot),,,,,,,Native
Industry Clients,"Data Collection (VIP, Circana)",Manual,,Semi,,Yes (Pilot),,,,,,,Native
Industry Clients,Retailers / Food Distributors,Manual,,Semi,,Yes (Pilot),,,,,,,Native
Industry Clients,National Chain (On/Off),Manual,,Semi,,Yes (Pilot),,,,,,,Native
Industry Clients,Trade Promotion Application ,Manual,,Semi,,Yes (Pilot),,,,,,,Native
